"","province","excess_death","normalized_death","predicted_deaths"
"1","آذربايجان شرقي",16164.372548887,0.251759958684038,64205.4941277357
"2","آذربايجان غربی",11127.0935430602,0.249102955576034,44668.6532374917
"3","اردبیل",4424.63063766886,0.222402700884244,19894.6803257205
"4","اصفهان",17019.0446711328,0.244156412233239,69705.4995011755
"5","البرز",10337.8686947532,0.315128918814224,32805.2047195568
"6","ایلام",1756.17976190477,0.270646855802617,6488.82380952379
"7","بوشهر",3122.92857142857,0.262600575161389,11892.3142857143
"8","تهران",46157.8173409,0.272229830379433,169554.590239304
"9","چهارمحال و بختیاری",2740.33295826339,0.252797692307322,10840.0236301683
"10","خراسان جنوبی",1624.6419282932,0.146071898338662,11122.2072607458
"11","خراسان رضوی",20975.6937081055,0.238164087732869,88072.4457989332
"12","خراسان شمالی",2103.81205625009,0.151552465144739,13881.7409155362
"13","خوزستان",16219.7239212282,0.278054581777288,58332.8777305299
"14","زنجان",3809.13184529097,0.265656368049152,14338.567801944
"15","سمنان",2157.51562174279,0.217290793817095,9929.16259286568
"16","سیستان و بلوچستان",3889.37066488741,0.108054619191804,35994.4877320193
"17","فارس",16384.1177683715,0.266701016441287,61432.528405749
"18","قزوین",4977.90802499206,0.28393044750523,17532.13883446
"19","قم",5070.37809126025,0.295614420857032,17151.9984598871
"20","کردستان",5881.87692307693,0.282926832878159,20789.3923076923
"21","کرمان",7625.59829660447,0.189845874929512,40167.3109802137
"22","کرمانشاه",7014.44695968735,0.223758928987322,31348.2326333659
"23","کهگیلویه و بویراحمد",1489.17199396997,0.183727173169129,8105.3442900312
"24","گلستان",6476.77599270467,0.251088017964619,25794.8429606757
"25","گیلان",6817.71340827685,0.141305884285138,48247.9087319502
"26","لرستان",4427.76716543038,0.168021702458145,26352.352705945
"27","مازندران",9691.38585424311,0.196378775282849,49350.4750718826
"28","مرکزی",4951.16088786975,0.229395410465708,21583.5219973151
"29","هرمزگان",3374.15934065934,0.184747513606435,18263.625175748
"30","همدان",5475.09321253241,0.176503080603505,31019.8167296105
"31","یزد",3443.49221081875,0.249828116342599,13783.4454393298
